,Open,Close*,Previous Day Close,S&P Open,Nikkei Close
1934,5854.6,5852.6,5838.8,1460.34,9110.0
1935,5888.5,5854.6,5852.6,1461.05,9086.98
1936,5868.2,5888.5,5854.6,1459.5,9232.21
1937,5893.5,5868.2,5888.5,1461.19,9123.77
1938,5819.9,5915.6,5893.5,1460.07,9159.39
1939,5782.1,5819.9,5915.6,1436.56,8995.15
1940,5792.2,5782.1,5819.9,1433.56,8959.96
1941,5793.2,5792.2,5782.1,1429.13,8807.38
1942,5794.8,5793.2,5792.2,1437.92,8869.37
1943,5777.3,5794.8,5793.2,1432.12,8871.65
1944,5657.9,5777.3,5794.8,1403.74,8680.57
1945,5672.0,5657.9,5777.3,1404.94,8679.82
1946,5758.4,5672.0,5657.9,1406.54,8775.51
1947,5719.5,5711.5,5758.4,1400.07,8839.91
1948,5743.5,5719.5,5711.5,1410.08,8983.78
1949,5775.7,5743.5,5719.5,1409.32,9069.81
1950,5776.6,5775.7,5743.5,1410.44,9033.29
1951,5776.6,5776.6,5775.7,1401.99,9070.76
1952,5774.2,5776.6,5776.6,1413.49,9178.12
1953,5857.5,5774.2,5776.6,1413.09,9131.74
1954,5824.4,5857.5,5774.2,1418.13,9156.92
1955,5852.4,5824.4,5857.5,1417.85,9171.16
1956,5834.5,5852.4,5824.4,1415.84,9162.5
1957,5833.0,5834.5,5852.4,1405.57,9092.76
1958,5864.8,5833.0,5834.5,1403.89,8925.04
1959,5831.9,5864.8,5833.0,1404.36,8929.88
1960,5847.1,5831.9,5864.8,1405.87,8885.15
1961,5851.5,5847.1,5831.9,1402.58,8891.44
1962,5845.9,5851.5,5847.1,1402.26,8978.6
1963,5841.2,5845.9,5851.5,1401.23,8881.16
1964,5808.8,5841.2,5845.9,1394.46,8803.31
1965,5787.3,5808.8,5841.2,1391.04,8726.29
1966,5662.3,5787.3,5808.8,1365.45,8555.11
1967,5712.8,5662.3,5787.3,1375.13,8653.18
1968,5635.3,5712.8,5662.3,1379.32,8641.85
1969,5693.6,5635.3,5712.8,1385.27,8695.06
1970,5627.2,5693.6,5635.3,1385.94,8635.44
1971,5573.2,5627.2,5693.6,1360.05,8566.64
1972,5498.3,5573.2,5627.2,1338.17,8443.1
1973,5499.2,5498.3,5573.2,1338.35,8365.9
1974,5533.9,5499.2,5498.3,1350.52,8488.09
1975,5651.8,5533.9,5499.2,1362.34,8508.32
1976,5714.2,5651.8,5533.9,1376.51,8669.87
1977,5685.8,5714.2,5651.8,1373.01,8795.55
1978,5629.1,5685.8,5714.2,1363.58,8726.74
1979,5662.4,5629.1,5685.8,1353.68,8755.0
1980,5608.3,5666.1,5662.4,1334.81,8724.12
1981,5664.5,5608.3,5666.1,1341.29,8720.01
1982,5664.1,5664.5,5608.3,1341.4,8851.0
1983,5627.3,5664.1,5664.5,1352.96,8857.73
1984,5662.6,5627.3,5664.1,1354.66,8896.88
1985,5692.6,5662.6,5627.3,1367.09,9020.75
1986,5684.5,5692.6,5662.6,1373.72,9079.8
1987,5640.6,5687.7,5684.5,1365.75,9066.59
1988,5571.2,5640.6,5687.7,1362.33,9003.48
1989,5493.1,5571.2,5640.6,1330.12,9006.78
1990,5523.9,5493.1,5571.2,1331.52,8874.11
1991,5447.0,5523.9,5493.1,1320.71,8730.49
1992,5450.7,5447.0,5523.9,1314.09,8663.99
1993,5513.7,5450.7,5447.0,1334.9,8734.62
1994,5566.4,5513.7,5450.7,1325.92,8798.35
1995,5622.3,5566.4,5513.7,1355.43,8824.07
1996,5586.3,5622.3,5566.4,1358.04,8752.31
1997,5491.1,5586.3,5622.3,1344.83,8655.87
1998,5478.8,5491.1,5586.3,1342.42,8721.02
1999,5467.1,5478.8,5491.1,1329.19,8569.32
2000,5483.8,5467.1,5478.8,1314.88,8568.89
2001,5473.7,5483.8,5467.1,1324.02,8587.84
2002,5432.4,5473.7,5483.8,1309.4,8536.72
2003,5435.1,5432.4,5473.7,1325.72,8624.9
2004,5447.8,5435.1,5432.4,1314.99,8459.26
2005,5384.1,5447.8,5435.1,1316.15,8639.72
2006,5260.2,5384.1,5447.8,1285.61,8533.53
2007,5320.9,5260.2,5384.1,1309.87,8440.25
2008,5297.3,5320.9,5260.2,1313.09,8542.73
2009,5391.1,5297.3,5320.9,1331.25,8633.19
2010,5356.3,5391.1,5297.3,1318.9,8657.08
2011,5350.1,5351.5,5391.1,1320.81,8580.39
2012,5266.4,5350.1,5351.5,1318.72,8563.38
2013,5403.3,5266.4,5350.1,1316.02,8556.6
2014,5304.5,5403.3,5266.4,1316.09,8729.29
2015,5267.6,5304.5,5403.3,1295.73,8633.89
2016,5338.4,5267.6,5304.5,1305.05,8611.31
2017,5405.3,5338.4,5267.6,1324.82,8876.59
2018,5437.6,5405.3,5338.4,1330.78,8801.17
2019,5465.5,5437.6,5405.3,1338.36,8900.74
2020,5575.5,5465.5,5437.6,1351.93,8973.84
2021,5544.0,5575.5,5465.5,1358.11,8953.31
2022,5530.1,5544.0,5575.5,1354.58,9009.65
2023,5554.6,5530.1,5544.0,1363.2,9045.06
2024,5655.1,5554.6,5530.1,1369.16,9181.65
